originreportzone,destreportzone,departtime,trippurpose,modeprimary
50,50,800,52,7
50,1,815,10,7
1,50,1530,51,7
50,50,1600,80,7
50,50,800,30,7
50,50,1600,80,7
100,180,745,10,1
180,100,1700,41,1
100,100,1735,80,1
50,200,830,43,1
200,140,915,43,1
140,140,1045,41,1
140,50,1200,41,1
50,50,1230,80,1
50,140,1425,43,1
140,50,1700,80,1
50,50,845,30,6
50,50,1500,80,6
50,50,845,30,6
50,50,1500,80,6
120,140,1030,41,1
140,120,1130,80,1
120,140,1030,41,2
140,120,1130,80,2
200,140,830,10,1
140,200,1650,80,1
200,200,1750,41,1
200,200,1830,80,1
200,200,1750,41,2
200,200,1830,80,2
200,200,1245,20,2
200,200,2130,80,2
100,1,830,10,3
1,100,1730,80,3
100,100,610,10,3
100,140,1700,46,4
140,100,2200,80,4
240,260,1500,46,1
260,240,1630,80,1
200,200,745,52,1
200,200,800,80,1
200,200,1700,51,1
200,200,1715,80,1
100,50,805,52,1
50,1,835,10,1
1,50,1415,51,1
50,100,1430,80,1
100,140,1640,41,1
140,100,1800,80,1
100,50,805,30,2
50,100,1430,80,2
100,140,1640,43,2
140,100,1800,80,2
180,140,1430,41,1
140,180,1530,41,1
180,180,1645,80,1
260,240,1030,41,7
240,260,1300,80,7
260,260,1400,41,7
260,260,1450,80,7
260,240,2000,41,1
240,260,2030,80,1
260,140,700,41,1
140,260,1030,80,1
180,200,1400,20,1
200,180,2100,80,1
180,140,1000,12,1
140,180,1800,80,1
180,180,730,30,18
180,180,1430,80,18
180,180,730,30,18
180,180,1430,80,18
300,300,830,52,7
300,300,900,80,7
300,300,915,41,1
300,300,1130,80,1
300,300,1530,51,7
300,300,1600,80,7
200,200,1930,43,7
200,200,2100,80,7
50,50,825,44,7
50,50,845,80,7
50,50,1830,41,7
50,100,1840,41,7
100,100,1900,41,7
100,50,1925,80,7
300,260,745,11,1
260,300,1615,41,1
300,300,1700,80,1
300,1,730,10,1
1,300,1530,80,1
300,300,835,30,18
300,300,1540,80,18
300,300,840,30,18
300,300,1540,80,18
450,450,1600,46,1
450,450,1830,80,1
200,240,1200,41,1
240,200,1330,80,1
200,240,1200,41,2
240,200,1330,80,2
100,1,815,10,1
1,240,1730,41,1
240,260,1815,46,1
260,100,2015,80,1
500,260,1700,46,1
260,500,2045,80,1
400,100,900,10,1
100,400,1600,80,1
400,100,900,10,2
100,400,1600,80,2
400,1,1400,10,4
1,400,2105,80,4
1,1,1700,44,7
1,1,1800,80,7
1,1,745,10,7
1,1,1215,44,7
1,1,1245,10,7
1,1,1630,80,7
1,1,1700,44,7
1,1,1800,80,7
560,1,645,10,6
1,560,1640,80,6
560,560,800,52,1
560,560,855,80,1
560,560,800,30,2
560,560,1415,80,18
50,140,900,11,2
140,50,930,80,1
50,140,1630,51,1
140,50,1635,80,2
50,140,900,10,1
140,50,1630,80,1
50,140,1805,46,1
140,140,2045,44,1
140,50,2135,80,1
50,140,900,52,2
140,50,930,80,2
50,140,1600,51,2
140,50,1605,80,2
300,300,700,44,1
300,300,700,30,2
300,300,1525,80,2
200,200,1710,52,1
200,200,1725,41,1
200,200,1820,41,1
200,200,1845,51,1
200,200,1905,80,1
200,200,1710,52,2
200,200,1725,41,2
200,200,1820,41,2
200,200,1845,51,2
200,200,1905,80,2
200,200,905,30,18
200,200,1600,80,18
200,200,1710,46,2
200,200,1905,80,2
400,400,545,46,1
400,400,1300,80,1
260,260,1320,43,1
260,260,1500,80,1
260,260,1720,10,1
260,260,2524,80,1
300,300,1015,51,1
300,300,1100,80,1
180,100,730,52,1
100,180,800,80,1
180,200,1215,41,1
200,260,1230,10,1
260,100,1630,51,1
100,180,1700,80,1
180,180,730,43,1
180,180,830,80,1
180,425,1845,43,1
425,180,2100,80,1
180,100,730,30,2
100,180,1700,80,2
500,500,805,10,1
500,500,1200,80,1
50,120,1700,46,4
120,50,2030,80,4
50,50,1730,44,7
50,50,1745,80,7
260,50,2200,80,1
240,600,815,10,1
600,240,1635,80,1
240,140,1815,44,2
140,240,2210,80,2
1,140,830,52,1
140,1,900,80,1
1,50,945,20,7
50,1,1430,80,7
1,140,830,10,2
140,1,1730,80,6
300,300,735,30,2
300,300,725,10,1
300,300,1530,80,1
300,300,2030,41,1
300,300,2055,80,1
240,240,1000,43,1
240,240,1140,80,1
240,260,1300,46,1
260,260,1315,41,1
260,240,1400,80,1
240,240,2200,80,7
240,240,900,10,7
240,240,1600,80,7
240,240,1245,10,6
240,240,1600,80,6
240,200,1840,46,1
200,240,2130,52,1
240,240,2135,80,1
240,50,900,10,6
50,240,1630,80,6
300,300,900,12,1
300,300,1300,80,1
300,300,820,30,3
300,300,1530,80,5
300,300,820,30,18
300,300,1530,80,18
300,300,1600,44,1
300,300,1800,80,1
50,140,1015,41,3
140,50,1145,80,3
425,260,915,10,1
260,425,1830,80,1
300,300,835,52,1
300,300,850,80,1
300,300,1530,51,1
300,300,1550,80,1
300,300,845,30,2
300,300,1545,80,2
100,100,630,46,7
100,260,1500,40,1
260,100,1642,80,1
100,100,630,46,7
100,100,842,80,7
200,200,1100,41,2
200,200,1230,80,2
425,260,1730,41,2
425,425,2530,80,11
425,425,1715,41,1
425,425,1720,80,1
1,50,700,10,7
50,1,1600,80,7
425,425,1730,41,1
425,425,1830,80,1
300,200,715,10,1
200,300,1640,80,1
300,240,700,10,1
240,300,1830,80,1
260,260,1015,41,1
260,260,1110,41,1
260,260,1205,80,1
50,50,900,46,1
50,50,1100,80,1
180,200,1300,10,1
200,180,1700,46,1
180,180,1705,80,1
180,400,1820,41,1
180,180,2345,80,1
360,400,935,41,1
400,360,1130,41,1
360,360,1315,80,1
360,400,935,41,2
400,360,1130,41,2
360,360,1315,80,2
140,625,1415,43,1
625,140,1515,80,1
140,140,1330,41,1
140,140,1415,80,1
140,140,810,10,3
140,140,1620,80,3
500,500,1325,41,1
500,500,1400,41,1
500,500,1445,80,1
500,500,1920,46,1
500,500,2130,80,1
500,500,1325,41,2
500,500,1400,41,2
500,500,1445,80,2
140,140,1850,46,7
140,140,2015,80,7
120,300,900,41,1
300,120,1600,80,1
400,425,730,51,1
425,100,740,10,1
100,50,1605,11,1
50,425,2125,52,1
425,400,2145,80,1
500,500,1600,52,1
500,500,1620,80,1
500,500,1935,51,1
500,500,1950,44,1
500,500,2015,80,1
500,50,1600,20,4
50,500,1855,80,3
500,500,1950,44,2
500,500,2015,80,2
500,500,1935,51,2
500,500,1950,44,2
500,500,2015,80,2
500,1,630,44,1
1,1,845,10,1
1,500,1430,80,1
500,425,800,11,1
425,500,1430,41,1
500,500,1600,80,1
300,300,810,52,1
300,300,820,44,1
300,300,830,80,1
300,300,1640,52,1
300,300,1700,41,1
300,300,1705,80,1
300,300,1745,51,1
300,300,1800,80,1
300,300,1850,52,1
300,300,2000,80,1
300,300,810,30,2
300,300,1450,80,3
300,300,1850,46,2
300,300,2000,80,2
300,300,810,30,2
300,300,1450,80,3
300,300,1640,46,2
300,300,1800,80,2
180,500,1010,43,1
500,500,1055,41,1
500,180,1115,80,1
180,1,835,10,1
1,1,1220,44,7
1,1,1340,10,7
1,180,1700,80,1
180,180,1800,41,2
180,180,1830,41,2
180,180,1850,80,2
180,200,2200,41,1
200,180,2225,80,1
300,180,835,46,1
180,300,1030,80,1
50,1,830,44,7
1,50,900,80,7
50,50,1900,46,7
50,50,2130,80,2
400,450,540,12,1
450,400,1430,80,1
400,50,2130,46,1
50,400,2400,80,1
400,400,730,52,1
400,400,800,10,1
400,400,1600,80,1
400,400,730,30,2
400,400,1550,80,18
400,400,730,30,2
400,400,1550,80,18
100,400,730,10,1
400,100,1430,80,1
50,140,1300,41,3
140,50,1700,80,3
260,260,1530,41,6
260,260,1545,80,6
260,200,1900,41,15
200,200,1920,41,15
200,200,1930,41,15
200,260,1950,80,15
260,200,715,10,1
200,260,1540,80,1
260,260,1645,46,1
260,260,1700,80,1
260,260,825,30,7
260,260,1505,80,7
260,260,825,30,7
260,260,1505,80,7
240,200,635,10,3
200,240,1510,41,3
240,240,1605,80,7
240,240,820,30,7
240,240,1538,80,7
260,260,1215,41,1
260,260,1240,80,1
260,240,1700,51,1
240,200,1730,44,1
200,240,1930,52,1
240,260,1945,80,1
260,260,2200,80,1
360,450,1500,41,1
450,450,1510,41,7
450,450,1520,41,7
450,450,1525,51,1
450,360,1550,80,1
360,360,1940,80,7
360,450,845,52,1
450,360,900,44,1
360,360,910,80,1
360,360,1430,44,1
360,360,1445,80,1
360,450,845,30,2
450,360,1550,80,2
360,450,845,30,2
450,360,1550,80,2
360,450,845,30,2
450,360,1550,80,2
425,425,830,30,2
425,425,1505,80,2
360,200,700,11,1
200,360,1530,80,1
360,200,700,10,1
200,360,1600,80,1
450,200,700,10,1
200,450,1700,80,1
450,200,700,12,1
200,450,1100,80,1
1,100,1100,41,1
100,120,1115,41,1
120,140,1125,41,1
140,625,1145,11,1
625,1,1230,80,1
1,50,825,52,1
50,100,840,10,1
100,1,1720,80,1
1,1,845,10,7
1,1,1820,80,7
1,50,825,30,2
50,1,1530,80,4
500,500,1510,777,1
500,500,1520,80,1
500,200,1815,46,1
200,500,2145,80,1
500,560,1745,46,1
560,500,1755,80,1
450,260,900,10,1
260,260,1715,41,1
260,450,1755,80,1
450,450,1410,41,1
450,450,1445,80,1
425,50,700,10,1
50,425,1504,80,1
500,140,500,10,3
140,500,1500,80,3
500,50,620,20,4
50,500,1500,80,4
50,50,1100,43,2
50,50,1200,80,2
50,1,1300,11,2
1,50,1700,80,7
500,500,1115,10,3
500,500,1810,80,3
500,500,915,11,1
500,500,945,11,1
500,450,1020,10,1
450,500,1920,44,1
500,500,1950,80,1
500,500,900,52,1
500,500,905,80,1
500,500,1225,51,1
500,500,1230,80,1
500,500,1300,10,1
500,500,1930,80,1
450,425,1120,41,1
425,450,1220,80,1
450,360,740,11,1
360,360,1315,43,1
360,450,1335,80,1
450,200,1610,46,1
200,450,1920,80,1
450,450,750,41,1
450,450,820,80,1
450,500,605,10,1
500,450,1535,80,1
450,450,710,10,1
450,450,1440,80,1
425,240,930,10,3
240,425,1815,80,3
425,500,1600,11,1
500,425,2400,80,1
425,240,830,10,3
240,425,1715,80,3
120,120,810,10,7
120,120,1600,80,7
120,300,1900,43,1
300,120,2000,80,1
120,300,1900,43,2
300,120,2000,80,2
120,120,800,30,18
120,120,1530,80,18
120,300,1900,43,2
300,120,2000,80,2
50,750,800,46,6
750,50,930,80,6
50,50,1100,46,7
50,50,1130,41,7
50,50,1140,80,7
50,140,800,10,1
140,50,1700,41,1
50,50,1725,80,1
50,50,1900,46,7
50,50,2000,80,7
50,50,900,30,7
50,50,1530,80,7
140,300,830,10,1
300,140,1700,80,1
50,50,1300,41,7
50,50,1400,80,7
50,50,800,10,7
50,50,1700,80,7
300,300,750,52,2
300,300,810,80,2
300,300,1600,51,1
300,300,1615,80,1
300,300,750,52,1
300,300,810,80,1
300,300,1445,51,1
300,300,1500,80,1
300,300,750,30,2
300,300,1500,80,2
50,100,930,41,1
100,50,1020,80,1
425,400,730,10,1
400,425,1630,46,1
425,425,1820,80,1
120,140,1200,40,1
140,120,1900,80,1
500,500,800,10,1
500,500,1600,80,1
500,500,830,46,1
500,500,1030,41,1
500,500,1125,80,1
500,500,730,10,1
50,50,955,43,7
50,50,1020,80,7
50,50,1645,44,7
50,50,1900,80,7
50,50,800,41,7
50,50,845,80,7
50,50,1010,43,7
50,50,1040,44,7
50,50,1050,80,7
50,50,1645,44,7
50,50,1900,80,7
50,1,830,10,6
1,50,1725,80,6
500,50,1200,20,4
50,500,1630,80,4
50,50,1500,20,7
50,50,1800,80,7
300,300,835,51,1
300,300,930,80,1
300,300,2015,80,1
300,300,815,10,1
300,300,1645,51,1
300,300,1700,80,1
300,300,2000,52,1
300,300,2015,80,1
425,240,700,52,1
240,200,740,10,1
200,240,1700,51,1
240,425,1715,80,1
425,240,700,10,2
240,425,1715,80,2
260,260,1400,41,1
260,260,1430,46,1
260,260,1445,80,1
260,260,1300,41,7
260,260,1330,80,7
260,260,1400,41,2
260,260,1430,46,2
50,50,1305,43,7
50,50,1415,41,7
50,50,1445,80,7
50,140,1630,41,6
140,50,1745,80,6
400,425,1645,46,1
425,400,1900,41,1
400,400,1930,80,1
400,50,800,20,1
50,400,1500,80,1
400,400,725,30,3
400,400,1410,80,3
400,425,1645,46,2
425,400,1900,41,2
400,400,1930,80,2
200,180,1130,41,1
180,200,1215,80,1
200,180,1130,41,2
180,200,1215,80,2
200,200,815,30,18
200,200,1530,80,18
200,50,900,30,18
50,200,1630,80,18
350,140,1300,41,1
140,350,1410,80,1
425,50,915,20,3
50,425,1600,43,3
425,425,2145,80,7
50,140,600,10,3
140,50,1500,80,3
50,50,1400,41,1
50,50,1445,80,1
100,140,800,46,15
140,100,930,80,15
240,50,1700,46,6
50,240,1815,80,6
240,240,1100,43,1
240,240,1230,80,1
240,50,1700,46,1
50,240,1815,80,1
300,600,710,12,2
600,300,1230,80,2
500,50,1000,46,1
50,500,1330,80,1
500,50,1000,46,2
50,500,1330,80,2
200,425,1500,41,1
425,50,1510,10,1
50,200,2205,80,1
1,1,730,46,7
1,1,815,80,7
1,50,1220,43,7
50,1,1250,80,7
1,1,1830,44,7
1,1,2015,80,7
1,1,810,51,1
1,120,820,10,1
120,100,1645,41,1
100,1,1715,80,1
1,1,1830,44,7
1,1,2015,80,7
360,425,1730,11,1
425,360,2200,80,1
360,120,800,11,1
120,360,1600,80,1
360,400,1730,46,1
400,360,2000,80,1
360,425,715,30,18
425,425,1200,41,7
425,360,1440,80,18
360,425,1730,46,2
425,360,2200,80,2
360,400,825,30,18
400,360,1530,80,18
360,400,1730,46,2
400,360,2000,80,2
120,120,805,52,1
120,120,810,80,1
120,120,1500,51,1
120,120,1505,80,1
120,120,805,30,2
120,120,1505,80,2
240,240,900,10,1
240,240,1130,80,1
240,50,1330,11,3
50,240,1630,80,2
240,500,830,10,1
500,240,1630,80,1
240,120,645,10,1
120,240,1530,80,1
240,240,1800,44,1
240,240,1815,80,1
240,240,1545,10,7
240,240,2300,80,7
240,240,845,30,6
240,240,1515,80,6
240,240,815,30,6
240,240,1630,80,6
500,500,900,10,1
500,500,1704,80,1
500,100,1300,41,1
100,100,1345,51,1
100,500,1500,80,1
260,240,1200,41,1
240,260,1300,80,1
260,240,1200,41,1
240,200,1300,43,1
200,260,1400,80,1
425,50,830,10,1
50,425,1730,80,1
425,50,1015,41,1
50,425,1300,80,1
425,120,1800,46,7
120,425,1900,80,7
140,180,1300,41,1
180,180,1400,41,1
180,140,1430,80,1
140,180,1300,41,2
180,180,1400,41,2
180,140,1430,80,2
140,50,1015,10,1
50,100,1800,41,1
100,140,1915,80,1
140,140,2000,41,1
140,140,2020,41,1
140,140,2200,80,1
200,200,915,52,1
200,200,1020,41,1
200,200,1100,41,1
200,200,1125,41,1
200,200,1140,80,1
200,200,1715,51,1
200,200,1750,41,1
200,200,1810,80,1
200,140,805,52,1
140,200,835,80,1
200,140,1515,51,1
140,200,1545,52,1
200,200,1625,80,1
200,200,1745,51,1
200,140,805,30,2
140,200,1545,46,2
200,200,1810,80,2
500,1,715,10,4
1,500,1530,80,4
500,560,1710,46,1
560,500,1915,80,1
500,560,1710,46,2
560,500,1915,80,2
500,500,850,30,6
500,500,1545,80,6
500,500,850,30,6
500,500,1545,80,6
500,560,715,30,18
560,500,1430,80,18
300,300,1830,41,1
300,300,1915,40,1
300,300,2015,41,1
300,300,2040,80,1
300,180,500,11,10
300,120,800,30,3
120,300,1545,80,5
300,300,900,30,7
300,300,1545,80,7
300,300,845,30,6
300,300,1545,80,6
200,50,1100,20,1
50,200,1630,80,1
200,200,630,44,1
200,400,640,10,1
400,200,1545,80,1
180,500,620,46,1
500,180,820,80,1
240,240,1000,44,7
240,240,1100,41,7
240,240,1130,80,7
240,240,1315,51,7
240,240,1330,80,7
240,240,815,52,7
240,240,830,80,7
300,1,800,10,1
1,120,1600,41,1
120,300,1700,80,1
300,300,645,41,1
300,300,945,80,1
500,500,1200,80,1
240,500,1630,80,1
100,100,1630,41,1
300,120,645,52,1
120,300,705,80,1
300,120,1710,51,1
120,300,1730,80,1
300,50,645,20,4
50,300,1700,80,4
300,140,1550,44,1
140,300,1555,80,1
300,300,1630,44,2
300,300,1900,80,2
260,260,850,10,1
260,260,1830,80,1
260,260,1900,41,7
260,260,1920,80,7
260,50,800,20,1
50,260,2630,80,1
300,140,715,10,1
140,300,1625,80,1
300,180,605,10,1
180,300,1930,80,1
400,425,1720,41,1
425,425,1810,41,7
425,425,1830,41,1
425,425,1845,41,1
425,425,1950,44,1
425,425,2010,80,1
140,140,1100,44,1
140,200,1115,52,1
200,140,1130,44,1
140,140,1200,80,1
140,140,1100,44,2
140,200,1115,20,2
200,140,1930,80,3
140,140,1400,41,1
140,180,1445,41,1
180,140,1515,80,1
140,140,1815,44,1
140,140,1845,80,1
100,140,1100,888,1
140,100,1343,80,1
300,300,1330,41,1
300,300,1415,80,1
300,300,745,44,1
300,300,945,80,1
140,140,1245,41,7
140,140,1345,80,7
140,140,2000,41,1
140,140,2030,80,1
140,120,840,10,4
140,140,1300,43,1
140,140,1429,80,1
200,200,715,41,3
200,260,900,10,3
260,200,1845,80,3
200,500,1530,10,3
500,200,2315,80,3
200,200,1100,41,11
200,200,1200,80,11
200,200,630,46,1
200,200,830,80,1
200,240,730,12,2
240,200,1400,80,2
500,500,845,10,1
500,500,1130,80,1
500,500,1540,51,1
500,500,1605,80,1
500,500,1900,41,1
500,500,1940,41,1
500,500,2000,80,1
500,500,740,52,1
500,500,750,41,1
500,500,845,80,1
500,500,740,30,2
500,500,1605,80,2
180,200,825,43,1
200,180,935,80,1
180,180,1020,10,1
180,180,1520,80,1
180,400,835,30,18
400,180,1530,80,18
180,400,835,30,18
400,180,1530,80,18
100,100,800,43,7
100,1,900,10,6
1,100,1800,41,1
100,100,1955,80,1
100,100,930,10,7
100,100,1500,41,7
100,100,1600,80,7
100,100,830,30,7
100,100,1548,80,7
100,100,830,30,7
100,100,1530,80,7
350,50,1530,20,4
50,350,2100,80,4
120,140,1000,44,1
140,120,2245,80,1
120,140,1000,41,2
140,120,1045,80,2
50,1,800,41,6
1,50,830,41,6
50,50,850,80,6
50,750,1700,46,6
750,50,1915,80,6
500,500,1320,43,1
500,500,1410,80,1
140,140,2300,80,7
300,300,1100,44,1
300,240,1130,46,1
240,300,1342,80,1
300,600,545,10,4
600,300,1505,80,4
300,300,1615,777,1
300,300,1640,41,1
300,300,1650,80,1
260,260,1600,777,2
260,260,1700,46,2
260,260,1800,80,2
260,260,1600,777,1
260,260,1800,80,1
50,50,920,80,7
50,200,940,10,14
200,50,1725,80,14
50,50,1800,41,7
50,50,1820,80,7
50,50,920,80,7
50,50,1345,80,7
425,200,700,10,1
200,425,1700,80,1
140,140,700,52,7
140,140,730,80,7
140,140,700,10,7
140,140,1600,80,7
560,560,955,46,1
560,560,1630,46,1
560,560,1710,80,1
560,560,955,46,2
560,560,905,30,18
560,560,1605,80,18
560,560,1630,46,2
560,560,1740,80,2
140,140,1400,41,2
140,140,1515,51,2
140,140,1530,41,2
140,140,1615,80,2
140,140,1715,46,7
140,140,1745,80,7
140,140,845,52,1
140,140,900,80,1
140,140,1405,41,1
140,140,1500,51,1
140,140,1530,41,1
140,140,1615,80,1
140,140,1730,80,1
140,140,845,30,2
140,140,1530,41,2
140,140,1615,80,2
140,140,1715,46,7
140,140,1745,80,7
1,50,700,43,10
50,1,745,80,7
50,50,1300,43,6
50,50,1500,80,6
50,50,1600,43,7
50,50,1645,80,7
180,240,550,10,1
240,200,1200,41,1
200,180,1240,80,1
200,1,820,10,4
1,200,1700,80,4
200,50,915,10,1
50,200,1730,80,1
400,180,1505,46,1
180,400,1620,80,1
400,400,1645,44,1
400,400,1705,80,1
400,500,830,11,1
500,400,1230,80,1
500,500,1937,80,7
500,500,1430,41,1
500,500,1515,80,1
300,50,700,20,4
50,300,1715,80,4
180,140,635,12,3
140,180,1915,80,3
180,180,730,44,2
180,140,755,10,2
140,140,815,44,2
140,140,830,10,2
140,180,1630,80,2
140,180,2110,80,2
180,200,1430,46,1
200,180,1600,80,1
500,500,900,41,7
500,500,930,80,7
500,750,1300,46,1
750,500,1515,80,1
500,750,1300,46,2
750,500,1515,80,2
500,500,1030,44,1
200,500,1300,80,1
260,1,1300,10,4
1,260,2230,80,4
260,1,745,10,1
1,260,1745,80,1
260,240,820,30,3
240,260,1515,80,3
500,500,1300,41,1
500,500,1400,80,1
500,500,2000,44,1
500,500,2230,80,1
500,1,700,10,4
1,500,1545,80,4
500,500,900,10,1
500,500,2030,80,1
500,500,1625,46,1
500,500,1800,80,1
500,500,1700,46,1
500,500,1935,80,1
300,300,810,10,1
300,300,1630,80,1
300,120,800,20,1
120,300,1210,80,1
300,300,1400,46,1
300,300,1600,80,1
425,425,900,52,1
425,425,910,80,1
425,425,1700,52,1
425,425,1715,80,1
425,425,1800,51,1
425,425,1815,80,1
425,425,900,30,2
425,425,1515,80,7
425,425,1700,46,2
425,425,1815,80,2
100,1,800,30,3
1,100,1500,80,3
100,1,800,30,3
1,100,1500,80,3
140,200,1000,40,1
200,140,1005,80,1
140,200,1330,40,1
200,200,1340,41,1
200,180,1450,41,1
180,140,1500,80,1
140,180,1530,41,1
180,140,1545,80,1
140,180,1900,44,1
180,140,1930,80,1
140,180,900,41,1
180,140,930,80,1
140,180,1530,41,2
180,140,1545,80,2
140,200,800,20,1
200,140,1200,80,1
140,200,1330,40,2
200,200,1340,41,2
200,180,1450,41,2
180,140,1500,80,2
360,400,1750,41,1
400,240,1845,44,1
240,360,2145,80,1
360,400,1750,41,2
400,240,1845,44,2
240,360,2145,80,2
240,200,730,20,3
200,240,1010,80,3
240,200,1025,20,3
200,240,1415,80,3
300,180,730,10,1
180,300,1700,80,1
300,300,800,30,7
300,300,1520,80,7
140,180,630,52,1
180,140,650,80,1
140,140,720,10,6
140,140,1530,80,6
140,1,1640,44,2
1,140,1930,80,2
140,140,630,10,6
140,140,1200,80,6
140,140,1700,10,6
140,140,1800,80,6
140,140,2020,10,6
140,140,2430,80,6
100,500,805,10,1
500,100,1615,80,1
425,425,1045,43,1
425,425,1145,80,1
350,350,2100,80,1
180,120,715,41,1
120,300,740,41,1
300,300,830,41,1
300,300,915,41,1
300,300,945,41,1
300,180,1100,80,1
180,120,715,41,2
120,300,740,41,2
300,300,830,41,2
300,300,915,41,2
300,300,945,41,2
300,180,1100,80,2
350,300,1630,10,7
350,260,530,10,1
260,350,1510,80,1
200,200,1000,20,3
200,200,1500,80,3
425,50,730,10,3
50,425,1620,46,3
425,425,1725,80,3
425,425,1800,777,7
425,425,1830,41,7
425,425,1915,80,7
425,425,1800,777,7
425,425,1830,41,7
425,425,1915,80,7
260,1,735,11,14
1,260,1515,80,14
260,200,1630,41,7
200,260,1740,80,7
260,260,800,46,7
260,260,1100,80,7
260,200,1620,40,2
200,260,1700,80,7
260,260,645,10,1
260,260,1500,80,1
260,200,1620,40,1
200,260,1700,80,1
50,500,730,52,1
500,500,830,10,1
500,50,1730,80,1
50,500,800,11,3
500,50,1800,80,3
50,500,730,30,2
500,50,1730,80,2
450,200,600,10,1
200,200,930,11,1
200,500,1030,11,1
500,450,1130,43,1
450,450,1300,46,1
450,450,1800,80,1
50,300,625,10,2
300,300,700,11,1
300,300,800,11,1
300,300,845,10,1
300,300,1400,11,1
300,300,1540,10,1
300,140,1815,41,2
140,50,1850,80,2
50,50,1920,41,7
50,50,1945,80,7
50,300,625,52,1
300,120,635,44,1
120,100,715,10,1
100,50,1610,80,1
50,300,1800,51,1
300,50,1845,80,1
50,50,1925,41,7
1,625,805,10,6
625,1,1530,80,6
1,50,1630,41,7
50,1,1715,80,7
1,1,800,43,7
1,1,930,80,7
1,1,1315,43,7
1,1,1430,80,7
50,1,1030,41,7
1,50,1100,41,7
50,50,1115,41,7
50,50,1125,80,7
50,260,945,43,1
260,100,1100,41,1
100,50,1140,80,1
50,50,1630,80,1
1,1,920,41,7
1,1,1100,80,7
1,100,1520,46,7
100,1,1800,80,7
1,50,830,10,7
50,50,1900,44,7
50,1,1930,80,7
180,300,830,40,1
300,260,915,43,1
260,200,1105,41,1
200,200,1115,44,1
200,180,1120,80,1
180,180,1635,777,7
180,180,1700,80,7
180,500,1745,44,2
500,180,2320,80,2
180,50,1150,44,1
50,140,1225,44,1
140,180,1400,44,1
180,180,1655,80,1
560,500,1630,80,2
500,500,1315,41,1
500,500,1330,80,1
100,1,820,10,4
1,100,1800,80,4
100,50,820,10,4
50,100,1730,80,4
100,400,745,10,3
400,100,1700,80,3
400,200,915,10,1
200,400,1600,80,1
400,200,2125,43,1
400,140,1200,46,1
140,400,1300,41,1
400,400,1325,80,1
300,300,1100,41,1
300,300,1115,41,1
300,300,1135,44,1
300,300,1140,80,1
50,50,1000,20,4
50,50,1130,10,7
50,1,1400,44,7
1,50,1430,10,7
50,1,1800,46,7
1,50,2400,10,7
50,50,2430,80,7
260,260,1430,41,1
260,260,1535,80,1
180,400,730,41,1
400,200,800,41,1
200,400,830,10,1
400,180,1700,80,1
500,140,745,10,1
140,500,1630,80,1
500,200,900,20,1
200,500,1500,41,1
500,500,1530,80,1
50,120,1030,20,4
120,120,1600,41,3
120,50,1800,80,4
200,560,630,10,1
560,260,1700,41,1
260,240,1745,41,1
240,200,1805,80,1
200,140,750,10,1
140,200,1645,80,1
180,50,800,43,4
50,180,1015,80,4
500,500,850,52,7
500,500,915,80,7
500,500,1830,41,1
500,500,1930,80,1
500,500,630,10,1
500,500,1545,80,1
500,500,850,30,7
500,500,1545,80,7
500,500,845,30,7
500,500,1545,80,7
500,140,1530,80,1
50,50,1240,20,6
50,50,1610,80,6
50,50,1010,20,7
50,50,1730,80,7
50,50,800,20,3
50,50,1430,80,3
300,300,735,52,1
300,300,740,80,1
300,300,1000,51,1
300,300,1010,80,1
300,300,1615,46,1
300,300,1710,80,1
300,300,815,11,1
300,300,1615,80,1
300,300,740,30,7
300,300,1425,80,7
300,300,1550,10,1
300,300,2230,80,1
300,300,735,46,2
300,300,1010,80,2
300,300,740,30,6
300,300,1530,80,6
300,300,1615,46,2
300,300,1710,80,2
50,50,1215,44,6
50,50,1230,10,6
50,240,1530,43,6
240,50,1610,10,6
50,50,1750,46,6
50,50,1900,80,6
50,260,815,10,1
260,260,1620,41,1
260,50,1630,80,1
50,50,1845,44,7
50,50,2130,80,2
260,240,920,46,1
240,260,1230,80,1
260,260,1400,41,1
260,260,1520,80,1
240,240,830,41,7
240,240,915,80,7
240,240,1430,46,7
240,240,1500,80,7
260,820,630,52,1
820,260,705,11,1
260,260,1600,80,1
260,260,1800,41,1
260,260,2045,80,1
260,200,2130,46,1
200,260,2245,80,1
260,260,1800,41,2
260,260,2045,80,2
260,260,745,30,18
260,260,1430,80,18
260,260,1800,41,2
260,260,2045,80,2
260,820,630,30,2
260,260,745,30,18
260,260,1430,80,18
260,260,1800,41,2
260,260,2045,80,2
260,820,630,30,2
200,200,800,41,1
200,200,845,41,1
200,50,1000,41,1
50,200,1030,80,1
140,120,2145,46,1
120,140,2330,80,1
140,140,930,52,1
140,100,950,46,1
100,140,1400,80,1
140,180,1530,52,1
180,140,1615,51,1
140,140,1645,80,1
50,50,1230,41,7
50,50,1345,80,7
500,1,645,10,1
1,500,1600,80,1
500,500,1915,44,1
500,500,1930,80,1
200,240,640,46,1
240,200,905,80,1
200,240,1600,46,1
240,200,1800,80,1
100,100,1445,51,1
100,100,1500,80,1
100,100,1645,41,1
100,100,1700,80,1
100,100,810,30,2
100,100,1500,80,2
300,300,1500,41,7
300,300,1530,80,7
300,300,1100,44,7
300,300,1120,80,7
425,200,1215,41,1
200,425,1430,80,1
