originreportzone,destreportzone,departtime,trippurpose,modeprimary
300,300,1015,41,1
300,140,1310,41,1
140,120,1530,46,1
120,300,1710,41,1
300,300,1735,80,1
300,300,1715,41,7
300,300,1740,80,7
300,300,1200,10,7
300,300,2100,80,7
500,500,1200,44,1
500,500,1425,80,1
300,300,1400,41,7
300,300,1435,80,7
120,120,1400,41,7
120,120,1510,80,7
180,140,720,10,1
140,180,1600,80,1
100,140,940,41,1
140,100,1030,80,11
100,140,1245,41,11
140,100,1330,80,1
425,1,500,10,4
1,425,1530,80,4
300,140,910,44,1
140,300,1115,80,1
50,50,1205,80,2
50,50,835,52,1
50,50,850,80,1
50,50,1000,41,1
50,50,1030,80,1
50,50,1100,41,1
50,50,1120,51,1
50,50,1205,80,1
400,300,650,10,1
300,400,1600,80,1
100,50,900,43,6
50,100,1000,80,6
100,120,1600,43,1
120,100,1630,80,1
100,100,1700,41,1
260,100,1830,80,1
100,50,800,10,1
50,100,1530,80,1
100,120,1600,43,2
120,100,1630,80,2
200,1,720,10,4
1,200,1700,80,4
200,200,1200,43,3
200,200,1330,80,3
300,300,1830,44,1
300,300,1910,80,1
300,140,845,44,1
140,140,925,10,1
140,300,1705,44,1
300,300,1750,80,1
1,625,1400,46,3
625,180,1730,80,4
180,400,2015,43,1
400,180,2040,80,1
180,400,830,10,1
400,180,1700,80,1
180,240,700,10,1
240,180,1545,80,1
180,180,800,10,1
180,180,1630,80,1
50,200,805,43,1
200,50,840,80,1
100,50,2345,80,1
300,300,1005,43,1
300,300,1115,80,1
400,400,1030,40,7
400,400,1100,80,7
400,200,710,30,5
400,400,1800,80,2
425,200,730,44,1
200,200,755,10,1
200,425,1720,80,1
425,200,730,44,2
200,425,1720,80,2
425,425,1100,41,7
425,425,1400,80,7
425,425,845,30,18
425,425,1540,80,18
200,200,1055,41,1
200,200,1215,80,1
100,100,1400,41,1
100,100,1430,80,1
100,100,1525,41,1
100,100,1540,80,1
400,400,830,52,1
400,400,1300,41,1
400,400,1630,51,1
400,400,2100,80,1
400,200,830,10,1
200,400,1700,80,1
180,180,1400,52,1
180,180,1600,80,1
180,180,1400,52,2
425,50,730,10,1
50,425,1630,80,1
425,200,1750,46,1
200,425,2000,80,1
425,425,905,41,1
425,425,930,80,1
425,450,1730,44,1
450,425,1900,80,1
425,200,830,10,1
200,425,1630,80,1
425,450,1730,44,2
450,425,1900,80,2
425,180,630,10,1
180,425,1500,44,1
425,425,1530,80,1
500,500,950,46,1
500,500,1245,80,1
500,1,645,10,1
1,500,1710,80,1
200,425,1230,41,1
425,425,1300,80,1
200,140,1545,80,1
200,140,1545,80,2
425,425,815,52,1
425,425,825,10,1
425,425,1530,51,7
425,425,1535,10,7
425,425,1540,51,1
425,425,1550,43,1
425,425,1630,41,1
425,425,1650,80,1
425,425,1805,52,1
425,425,1820,80,1
425,425,2000,51,1
425,425,2025,80,1
425,425,815,41,2
425,425,845,30,18
425,425,1550,43,2
425,425,1630,41,2
425,425,1650,80,2
425,425,815,41,2
425,425,830,30,7
425,425,1500,46,7
425,425,1535,46,7
425,425,1540,51,2
425,425,1630,41,2
425,425,1650,80,2
425,425,1805,46,2
425,425,2025,80,2
200,240,1120,43,6
240,200,1235,80,6
