originreportzone,destreportzone,departtime,trippurpose,modeprimary,tripfactor
425,50,700,10,1,8.73
50,425,1645,80,1,8.73
425,400,1815,41,1,8.73
400,425,1930,80,1,8.73
425,180,500,41,1,8.73
180,180,515,10,1,8.73
180,400,1545,41,1,8.73
400,425,1600,80,1,8.73
100,450,900,46,1,3.8
450,100,1430,80,1,3.8
140,140,650,10,1,22.4
140,140,1610,41,1,22.4
140,140,1630,80,1,22.4
140,180,1000,12,11,22.4
180,140,2700,80,11,22.4
200,200,830,41,1,12.07
200,200,920,41,1,12.07
200,200,935,80,1,12.07
300,1,745,10,1,39.18
1,1,1810,11,1,39.18
1,300,2000,80,1,39.18
300,260,730,10,1,39.18
260,300,1600,80,1,39.18
200,200,1300,41,1,21.57
200,200,1320,80,1,21.57
400,200,1540,46,1,45.73
200,400,1735,80,1,45.73
400,180,1700,41,1,45.73
180,400,1725,80,1,45.73
500,500,830,10,1,18.53
500,500,1725,80,1,18.53
300,300,800,52,1,18.51
300,300,810,80,1,18.51
300,300,1900,41,1,18.51
300,300,1920,80,1,18.51
300,300,1120,43,1,18.51
300,300,1200,80,1,18.51
300,300,800,30,2,18.51
300,300,1415,80,18,18.51
300,300,510,11,1,25.55
300,300,700,80,1,25.55
300,300,730,52,1,25.55
300,600,735,10,1,25.55
600,300,1600,80,1,25.55
300,300,830,30,2,25.55
300,300,1630,80,2,25.55
300,300,830,30,2,25.55
300,300,1630,80,2,25.55
50,50,1200,41,7,37.49
50,50,1215,80,7,37.49
100,300,1100,51,1,15.1
300,300,1130,51,1,15.1
300,300,1140,44,1,15.1
300,300,1400,52,1,15.1
300,300,1415,52,1,15.1
120,100,1830,80,1,15.1
500,240,850,10,1,66.02
240,500,1700,80,1,66.02
200,240,1745,46,1,12.2
240,200,2115,80,1,12.2
300,300,1400,41,1,9.23
300,300,1530,80,1,9.23
300,300,1100,41,1,9.23
300,300,1200,80,1,9.23
140,180,1935,44,1,5.5
180,140,2205,80,1,5.5
300,140,645,10,4,48.78
140,300,1600,80,4,48.78
300,300,945,10,2,48.78
300,300,1800,80,2,48.78
425,260,800,10,1,19.65
260,260,1700,41,1,19.65
260,425,1730,80,1,19.65
425,240,1830,46,1,19.65
240,425,2130,80,1,19.65
425,240,1830,46,2,19.65
240,425,2130,80,2,19.65
425,240,1830,46,2,19.65
240,425,2130,80,2,19.65
300,300,1000,41,1,42.0
300,300,1015,41,1,42.0
300,140,1310,41,1,42.0
140,120,1530,46,1,42.0
120,300,1710,41,1,42.0
300,300,1735,80,1,42.0
300,300,1715,41,7,42.0
300,300,1740,80,7,42.0
300,300,1200,10,7,42.0
300,300,2100,80,7,42.0
500,500,1200,44,1,8.35
500,500,1425,80,1,8.35
300,300,1400,41,7,10.44
300,300,1435,80,7,10.44
120,120,1400,41,7,16.51
120,120,1510,80,7,16.51
180,140,720,10,1,46.78
140,180,1600,80,1,46.78
100,140,940,41,1,9.93
140,100,1030,80,11,9.93
100,140,1245,41,11,9.93
140,100,1330,80,1,9.93
425,1,500,10,4,12.17
1,425,1530,80,4,12.17
300,140,910,44,1,6.89
140,300,1115,80,1,6.89
50,50,1205,80,2,5.11
50,50,835,52,1,5.11
50,50,850,80,1,5.11
50,50,1000,41,1,5.11
50,50,1030,80,1,5.11
50,50,1100,41,1,5.11
50,50,1120,51,1,5.11
50,50,1205,80,1,5.11
400,300,650,10,1,26.35
300,400,1600,80,1,26.35
100,50,900,43,6,6.7
50,100,1000,80,6,6.7
100,120,1600,43,1,6.7
120,100,1630,80,1,6.7
100,100,1700,41,1,6.7
260,100,1830,80,1,6.7
100,50,800,10,1,6.7
50,100,1530,80,1,6.7
100,120,1600,43,2,6.7
120,100,1630,80,2,6.7
200,1,720,10,4,11.83
1,200,1700,80,4,11.83
200,200,1200,43,3,11.83
200,200,1330,80,3,11.83
300,300,1830,44,1,11.06
300,300,1910,80,1,11.06
300,140,845,44,1,11.06
140,140,925,10,1,11.06
140,300,1705,44,1,11.06
300,300,1750,80,1,11.06
1,625,1400,46,3,9.14
625,180,1730,80,4,9.14
180,400,2015,43,1,6.73
400,180,2040,80,1,6.73
180,400,830,10,1,6.73
400,180,1700,80,1,6.73
180,240,700,10,1,45.71
240,180,1545,80,1,45.71
180,180,800,10,1,45.71
180,180,1630,80,1,45.71
50,200,805,43,1,9.07
200,50,840,80,1,9.07
100,50,2345,80,1,9.07
300,300,1005,43,1,7.49
300,300,1115,80,1,7.49
400,400,1030,40,7,19.97
400,400,1100,80,7,19.97
400,200,710,30,5,19.97
400,400,1800,80,2,19.97
425,200,730,44,1,52.51
200,200,755,10,1,52.51
200,425,1720,80,1,52.51
425,200,730,44,2,52.51
200,425,1720,80,2,52.51
425,425,1100,41,7,52.51
425,425,1400,80,7,52.51
425,425,845,30,18,52.51
425,425,1540,80,18,52.51
200,200,1055,41,1,5.53
200,200,1215,80,1,5.53
100,100,1400,41,1,5.16
100,100,1430,80,1,5.16
100,100,1525,41,1,5.16
100,100,1540,80,1,5.16
400,400,830,52,1,32.6
400,400,1300,41,1,32.6
400,400,1630,51,1,32.6
400,400,2100,80,1,32.6
400,200,830,10,1,32.6
200,400,1700,80,1,32.6
180,180,1400,52,1,21.47
180,180,1600,80,1,21.47
180,180,1400,52,2,21.47
425,50,730,10,1,20.3
50,425,1630,80,1,20.3
425,200,1750,46,1,20.3
200,425,2000,80,1,20.3
425,425,905,41,1,11.09
425,425,930,80,1,11.09
425,450,1730,44,1,11.09
450,425,1900,80,1,11.09
425,200,830,10,1,11.09
200,425,1630,80,1,11.09
425,450,1730,44,2,11.09
450,425,1900,80,2,11.09
425,180,630,10,1,11.09
180,425,1500,44,1,11.09
425,425,1530,80,1,11.09
500,500,950,46,1,17.5
500,500,1245,80,1,17.5
500,1,645,10,1,24.26
1,500,1710,80,1,24.26
200,425,1230,41,1,23.79
425,425,1300,80,1,23.79
200,140,1545,80,1,15.21
200,140,1545,80,2,15.21
425,425,815,52,1,33.69
425,425,825,10,1,33.69
425,425,1530,51,7,33.69
425,425,1535,10,7,33.69
425,425,1540,51,1,33.69
425,425,1550,43,1,33.69
425,425,1630,41,1,33.69
